id,likes,replies,retweets,text,url,user
822594522303631360,0,0,0,Lester and keksey Warpotas) who haven't been outdoors in months except to dig for food through the garbage of business and who have no,/queeneyone1/status/822594522303631360,queeneyone1
822194973898633217,168,0,448,Biltong is way up there in the list of greatest ideas in food history,/Lonz_Sigabi/status/822194973898633217,Lonz_Sigabi
822577328471638017,0,0,2," Ok but dylan with food in his cheek is adorable Also, dude creeping in the side is my spirit animal. https://tmblr.co/ZdWwEp2HQlMFp ",/bhadpodcast/status/822577328471638017,bhadpodcast
824406495563513857,0,1,1,I hate when people find the little thing wrong with their food or service & make a big deal so they can try to get something free ,/covergirl_me/status/824406495563513857,covergirl_me
824406225177698305,2,0,1,@Ramzle paid for my food while i was in line at Chik & so i paid for the people behind me. Pay it forward. ,/kswaaag/status/824406225177698305,kswaaag
824406494112161792,0,0,0,"Wow, great video, really gave me food for thought.  Thank you. https://twitter.com/StefanMolyneux/status/824395223782588416 …",/ExoticCatLady/status/824406494112161792,ExoticCatLady
824406493889916929,0,0,0,"the answer is: ""Latin music, no drinks except cans of beer, and no food except French fries"" #letdown",/Aidi_Burns/status/824406493889916929,Aidi_Burns
824406490979168258,0,0,0,Please RT #recipes #food #cooking #delicious #cook #recipe Caribbean Pork Tacos http://bit.ly/2klctgW pic.twitter.com/sPkvakPVPD,/AllRecipess/status/824406490979168258,AllRecipess
824406490769424384,1,0,0,i wish i had someone to bring me food but no friends,/iulaur/status/824406490769424384,iulaur
824406488026324992,0,0,0,“Statistical heartburn: An attempt to digest four pizza publications from the Cornell Food… https://goo.gl/fb/5pxHPG ,/StatsBlogs/status/824406488026324992,StatsBlogs
824406486378020864,1,0,1,"Love street fairs&food trucks?Come to my theme dinner ""Avenue: Street Foods Reimagined"" for an upscale version of your faves!!@PSUCafeLaura",/Tulz409/status/824406486378020864,Tulz409
824406484264087552,0,1,0,Hope you'll check out our podcast on food system sustainability and food waste! http://soundcloud.com/isgps-the-forum/episode-35 …,/ISGPforum/status/824406484264087552,ISGPforum
824406483081318401,3,0,0,"Someone please bring me food. I'm in the library on the second floor in a circle booth located in the right corner, thank you.",/amber_grexa/status/824406483081318401,amber_grexa
824339697774325763,24,0,22,"From the #garden to #kitchen, Community Food Centres improve mental health by bringing people together around good food. #BellLetsTalkpic.twitter.com/MUYrzp9qgk",/aplaceforfood/status/824339697774325763,aplaceforfood
824406477582594048,6,0,0,"my dads best friends daughter used her food money to buy a uhaul, get all her shit, and rolled right outta college. goals.",/belloo_/status/824406477582594048,belloo_
824406477326651394,0,2,0,Chipotle or Chinese food ,/senyerDouglas/status/824406477326651394,senyerDouglas
824406477028945920,3,1,2,the amount of money I spend on food.....,/cassandra_5/status/824406477028945920,cassandra_5
824406473002352640,0,0,0,the food they eat nko,/fabzsneh/status/824406473002352640,fabzsneh
824406471924391937,0,0,0,Please RT #recipes #food #cooking #delicious #cook #recipe Perfect Pecan Praline Muffinshttp://tinyurl.com/gqt9fxs ,/Recipesblogg/status/824406471924391937,Recipesblogg
824406468585779201,1,1,0,okay so...who wants 2 buy a farm w/ me where we can all grow our own food and retreat from society??,/merlinhugs/status/824406468585779201,merlinhugs
824406468363481088,0,0,0,Foods and Drinks to Avoid During Early Pregnancy  http://www.healthguide911.com/2016/03/foods-and-drinks-to-avoid-during-early.html … #food #healthyfood,/healthguide911/status/824406468363481088,healthguide911
824406467465908224,2,0,0,Please RT #recipes #food #cooking #delicious #cook #recipe Chicken Alfredo Pizza http://tinyurl.com/gleao9d pic.twitter.com/QXuwha9Xq7,/RecipesDelicous/status/824406467465908224,RecipesDelicous
826218435126386688,0,1,0,"I've harvested 1,322 food! Check your patches for food too!  http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight",/reala_blurea77/status/826218435126386688,reala_blurea77
