id,likes,replies,retweets,text,url,user,rating,rating_norm
882064668239343600,14,0,7,"The Ronnie Fieg x Dover Street Market x New Balance 574 Sport collection releases this Friday.
http://bit.ly/sneakersnew pic.twitter.com/OP5xzRPKD1",/yoursneakersbot/status/882064668239343616,yoursneakersbot,7,0.0001090110620272377
864268539401785300,14,0,6,"The Female Sport COY, Lee Kicklighter from Union Grove HS. #HCAOYpic.twitter.com/C54Ryp6C07",/HCAthletics_HCS/status/864268539401785348,HCAthletics_HCS,6.666666666669999,0.00010382005907361162
873328664141844500,17,0,3,Baseball is the greatest sport ever. Don't even attempt to tell me different.,/2_Lil_b/status/873328664141844480,2_Lil_b,6.666666666669999,0.00010382005907361162
916815018729013200,12,1,7,"Western Michigan and Buffalo are tied 59-59 at the start of the sixth overtime. Oh, college football, you wonderful mess of a sport.",/MichaelDavSmith/status/916815018729013248,MichaelDavSmith,6.666666666669999,0.00010382005907361162
855209407642259500,16,0,3,De-committed from cal state soccer. I wanna play the sport I love… https://www.instagram.com/p/BTIGEvLj9zsOWM07BeXRWG-Y7PY9kI2yDWPRYA0/ …,/Guerito_5/status/855209407642259456,Guerito_5,6.333333333330001,0.00009862905611982983
905931311692386300,6,1,12,"airsoft tournament kayo? bagong  sport game ninyo ? exciting family & barkada game.
#PushAwardsLizQuenshttps://twitter.com/sarahjaneamil/status/905929634541428736 …",/anapinuela/status/905931311692386304,anapinuela,6.333333333330001,0.00009862905611982983
880576305028370400,3,7,8,"16 team 1/2 ppr dynasty

@MyFantasyLeague @FFDynastyTrades @EricNMoody @PaulMalandNFL @YahooNoise @sport_guy7 @daverichard @TerrellePryor",/Mjerky32/status/880576305028370432,Mjerky32,6,0.00009343805316620375
960301823444779000,0,11,7,Winter Olympic @SyndeoHRO Twitter question for Monday on @kfhradio. What sport will you most likely watch?,/ShaneDennis34/status/960301823444779009,ShaneDennis34,6,0.00009343805316620375
824406241489330200,10,0,7,"What's Fozzy's favorite sport? 

""Soccah Soccah Soccah""

(Plz send help)",/MikeZakarian/status/824406241489330176,MikeZakarian,5.666666666669999,0.00008824705021257766
831623680530776000,13,1,3,"Happy Valentines Day!  Can't go wrong w/ a pink Techni Sport chair for your girl - 15% off with code PINK15 - 

https://technisportchairs.com/product/techni-sport-office-pc-gaming-chair-color-pink/ …pic.twitter.com/gfQop2JwNd",/TechniSport/status/831623680530776064,TechniSport,5.666666666669999,0.00008824705021257766
860645228381958100,8,0,9,"Another college coach advocating for multi sport athletes! You only get one shot, enjoy the variety of sports while you can! https://twitter.com/trckfootball/status/860599080359211009 …",/ephstfxc/status/860645228381958144,ephstfxc,5.666666666669999,0.00008824705021257766
887824319610470400,14,1,2,Great to be at the National Sports Convention today representing @LaTrobeSport.  Learning how to get more people participating in sport. pic.twitter.com/UX3pLdMCff,/KrisANeil/status/887824319610470400,KrisANeil,5.666666666669999,0.00008824705021257766
896884024018432000,9,0,8,Sport  https://goo.gl/DkAthb pic.twitter.com/BMmyiY6JMe,/SpheraSports/status/896884024018432000,SpheraSports,5.666666666669999,0.00008824705021257766
945806039399592000,13,0,3,"2018 Tech Takeoff is going on NOW!  shop all new tech like these rad #Bluetooth ultrasport sport wraps (just $5!!) plus way more in store & online! http://fivebelow.com  New phone cases, battery banks, chargers, headphones, tablet folios & more (while supplies last!)  pic.twitter.com/UeiNMUva1b",/fivebelow/status/945806039399591936,fivebelow,5.33333333333,0.00008305604725879586
953054126492983300,13,1,2,"@G_Parker @6PR @MarkMcGowanMP MPs should stop worrying about their political backsides and let the Perth Stadium serve the people of WA for sport and let the crowds come, without always wanting to control everything we do. People are excited, let it happen.",/hisgreyness/status/953054126492983296,hisgreyness,5.33333333333,0.00008305604725879586
847958568913571800,11,0,4,Ney on the Ballon d'Orhttp://www.sport-english.com/en/noticias/barca/neymar-winning-the-ballon-dor-would-personal-victory-but-theres-rush-5942295 …,/Sport_EN/status/847958568913571841,Sport_EN,5,0.00007786504430516979
867892751681151000,13,0,2,"Pisses me off how i'm only
""Pretty for an Asian""
""big boobs for an Asian""
""good at sport for an Asian""
there is NO correlation to my race",/theasianposts/status/867892751681150976,theasianposts,5,0.00007786504430516979
913191322751729700,12,3,0,"Had it happened years ago, it would have been a boost to the sport. If this happened next year it would be as big as Ireland at the Euros.",/andrewmcgahon_/status/913191322751729664,andrewmcgahon_,5,0.00007786504430516979
829628774400585700,7,0,7,Great to speak to @SyncHerts @btcstevenage @sbfcgirluk @TheWentaGroup last week. Find out about our #tech #sport http://www.walljam.com pic.twitter.com/F9mXyFmaSw,/WallJammer/status/829628774400585728,WallJammer,4.66666666667,0.00007267404135154372
925874944206102500,7,0,7,coupon #fashion women #shoes #shoe #style Buy Now: $39.99 PUMA Pulse XT Sport Women s Training Shoes Clearwa... https://www.priceabate.com/ebay/Women-Shoes/PUMA-Pulse-XT-Sport-Women-s-Training-Shoes-Clearwater-Blue-Coral-size-8/222332241544 …pic.twitter.com/VbQ5HqWoGb,/PriceAbate/status/925874944206102528,PriceAbate,4.66666666667,0.00007267404135154372
828030318699540500,10,0,3,golf is the most suspicious sport. i don't trust it. i think it's trying to hide something,/PorkUrPine/status/828030318699540480,PorkUrPine,4.33333333333,0.0000674830383977619
818970423090024400,11,0,1,"without question, volunteers are the backbone of sport. #RoadNats volunteers were inspiring. THANK YOU",/nickgreenCDM/status/818970423090024448,nickgreenCDM,4,0.00006229203544413583
849773442228342800,0,0,12,"A day for toil, an hour for sport, but for a friend is life too short. - Ralph Waldo Emerson #ALDUB90thWeeksary",/ricsl1600/status/849773442228342784,ricsl1600,4,0.00006229203544413583
951242211877847000,9,0,3,"But football is a dying sport!! Nobody watches it because of protests or because people might get hurt! It'll be dead in no time.""

Love seeing results like this. Football is Americas sport. https://twitter.com/michaeldavsmith/status/951089368369958912 …",/CoachGrayvold/status/951242211877847040,CoachGrayvold,4,0.00006229203544413583
818970638790651900,9,1,1,Do something you love. Read a book. Watch a movie. Listen to music. Draw. Play a sport or game. Stop the negativity,/JTMASTER13/status/818970638790651904,JTMASTER13,3.66666666667,0.000057101032490509755
829842163995381800,11,0,0,what sport are you playing?,/nickpiazzolla_/status/829842163995381771,nickpiazzolla_,3.66666666667,0.000057101032490509755
847961365574815700,6,2,3,"took a few seasons off for her job as a police officer"" what male major sport athlete would have to do that/would do that?",/unlikelyfanatic/status/847961365574815744,unlikelyfanatic,3.66666666667,0.000057101032490509755
873328715836538900,10,1,0,Huge day of sport at our place! #NBAFinals2017 & big game for the @brisbanelions have a good feeling we will come away with a win! #GoLionspic.twitter.com/4TSvuQUV9S,/shellallen79/status/873328715836538880,shellallen79,3.66666666667,0.000057101032490509755
855209229329858600,9,0,1,Most of all thank you @Lisapalombo1 none of the above would have been here without you and your hours of volunteering... #sook #yourfave pic.twitter.com/CirA9l3emH,/taylormck4/status/855209229329858560,taylormck4,3.33333333333,0.00005191002953672795
853397406905512000,8,1,1,"NOT, wrong answer. His ass golfed enough to fill in the next 1-1/2 yes. How about he choose a more active sport that's good 4 his health",/isitreallysin/status/853397406905511936,isitreallysin,3.33333333333,0.00005191002953672795
922251142318493700,10,0,0,@SabrinaAnnLynn so i heard you were better at basketball now hmm isn’t that sport only for tall people,/sabrinaswhyild/status/922251142318493697,sabrinaswhyild,3.33333333333,0.00005191002953672795
929498890872737800,9,1,0,Long night ahead for #UFCNorfolk on BT Sport. We’ll be advised to use our 'viewer discretion'. We’ll be warned about 'violent physical contact'. We may even be warned about 'flashing images'. But nothing will get you like that FS1 pacing. But I came prepared... pic.twitter.com/3nT9kRmEdj,/simonhead/status/929498890872737792,simonhead,3.33333333333,0.00005191002953672795
